"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "SCSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\06-components\widgets.scss", "SCSS", 0, 0, 0, 0, 126, 0, 0, 1, 31, 158
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\07-utilities\a11y.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 1, 5, 49
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\07-utilities\color-palette.scss", "SCSS", 0, 0, 0, 0, 213, 0, 0, 28, 37, 278
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\07-utilities\ie.scss", "SCSS", 0, 0, 0, 0, 44, 0, 0, 0, 10, 54
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\07-utilities\measure.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 2, 3, 23
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\07-utilities\print.scss", "SCSS", 0, 0, 0, 0, 135, 0, 0, 19, 31, 185
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\style-dark-mode.scss", "SCSS", 0, 0, 0, 0, 82, 0, 0, 2, 18, 102
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\style-editor.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 3, 7, 22
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\style.scss", "SCSS", 0, 0, 0, 0, 33, 0, 0, 81, 9, 123
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\classes\class-twenty-twenty-one-custom-colors.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 74, 25, 168
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\classes\class-twenty-twenty-one-customize-color-control.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 45, 6, 70
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\classes\class-twenty-twenty-one-customize-notice-control.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 30, 3, 47
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\classes\class-twenty-twenty-one-customize.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 61, 20, 181
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\classes\class-twenty-twenty-one-dark-mode.php", "PHP", 235, 0, 0, 0, 0, 0, 0, 111, 39, 385
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\classes\class-twenty-twenty-one-svg-icons.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 94, 18, 242
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\comments.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 18, 10, 95
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\footer.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 12, 9, 75
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\functions.php", "PHP", 395, 0, 0, 0, 0, 0, 0, 182, 63, 640
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\header.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 11, 5, 33
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\image.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 24, 11, 113
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\back-compat.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 51, 5, 93
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\block-patterns.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 23, 12, 121
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\block-styles.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 26, 11, 113
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\custom-css.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 27, 5, 43
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\menu-functions.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 57, 8, 98
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\starter-content.php", "PHP", 126, 0, 0, 0, 0, 0, 0, 31, 28, 185
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\template-functions.php", "PHP", 207, 0, 0, 0, 0, 0, 0, 201, 68, 476
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\inc\template-tags.php", "PHP", 165, 0, 0, 0, 0, 0, 0, 66, 27, 258
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\index.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 17, 11, 46
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\package-lock.json", "JSON", 0, 0, 5978, 0, 0, 0, 0, 0, 1, 5979
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\package.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 11, 0, 70
